Gene_id	A1	B1	A2	A3	B2	B3	length
G000665	9053	2963	4584	9992	2480	3713	652
G000666	1248	776	1295	1179	892	495	462
G000667	904	2459	572	890	1649	524	792
G000668	647	2743	267	663	1021	889	3168
G000669	1083	4052	916	1051	2277	2165	1815
G000670	565	218	520	600	133	918	502
G000671	1028	967	1160	1287	663	934	737
G000672	536	869	659	529	466	407	1864
G000673	1520	1974	860	1457	1326	853	1220
G000674	414	353	673	367	191	398	549
G000675	826	891	560	910	601	831	738
G000676	9292	17746	3125	9702	12382	14416	1383
G000677	2873	4778	1300	2670	1770	3040	1575
G000678	322	265	180	382	176	290	780
G000679	1717	2617	783	1858	1886	2164	1093
G000680	479	1278	718	491	541	727	2142
G000681	7858	9357	4162	8222	8965	6968	642
G000682	238	295	228	289	176	302	824
G000683	1430	774	1104	1398	780	1522	981
G000684	2087	5360	873	3003	4045	2886	855
G000685	677	339	463	663	186	426	680
G000686	16740	21911	22754	23500	16337	15208	993
G000687	237	840	142	282	282	292	1848
G000688	1122	3090	892	1056	1486	906	1026
G000689	446	714	436	508	464	547	3169
G000690	1019	1584	589	1212	799	835	1152
G000691	1660	6193	1651	2145	2387	2941	4338
G000692	426	693	393	376	301	236	615
G000693	841	1681	828	854	703	1107	4593
G000694	166	362	205	150	142	178	832
G000695	1828	3527	1877	2217	2863	1928	1008
G000696	2493	9488	1622	2388	4709	4807	1527
G000697	483	355	101	672	349	568	2532
G000698	450	237	218	1124	169	251	273
G000699	2950	3006	1103	3078	2253	1466	915
G000700	13787	7605	10589	13552	5697	11955	639
G000701	6267	1725	6283	5368	1622	2265	315
G000702	423	652	264	449	297	449	2052
G000703	9216	16590	16346	11047	10426	11418	1624
G000704	605	1952	395	500	1539	1130	1005
G000705	502	190	262	759	53	201	444
G000706	326	153	226	380	81	82	932
G000707	481	326	301	396	181	109	1773
G000708	3615	1512	1365	3752	1165	1004	991
G000709	787	331	414	943	307	195	1509
G000710	11900	10971	3012	12136	7387	5923	614
G000711	6446	3373	5606	7520	3026	1307	387
G000712	1109	1038	500	1185	700	427	1800
G000713	1611	1293	1267	1627	758	468	2073
G000714	591	130	777	1355	81	324	882
G000715	3486	650	2703	4067	389	324	660
G000716	104	19	149	87	12	32	752
G000717	1317	233	1303	2005	136	1040	353
G000718	1758	1061	1793	1480	723	809	1437
G000719	5256	6293	2346	5093	2902	1638	2496
G000720	3232	1139	4693	3645	820	755	1435
G000721	2190	1222	1775	4214	483	627	962
G000722	3767	2541	3812	4184	1389	876	813
G000723	383	268	241	360	92	182	1401
G000724	568	517	456	524	202	252	1833
G000725	3942	1352	2302	4242	1158	971	709
G000726	5201	1440	5489	6279	1048	1323	780
G000727	6369	11065	2453	7326	7015	3232	687
G000728	2236	1142	2543	2669	535	704	1914
G000729	1711	1883	1044	1954	1102	756	1539
G000730	939	4085	1399	1309	2372	1967	579
G000731	1556	1061	2075	1668	705	980	576
G000732	442	621	957	460	555	230	367
G000733	584	1154	728	614	551	675	1611
G000734	182	529	220	206	239	234	2019
G000735	335	663	594	431	323	347	2808
G000736	8793	4676	5688	8012	2319	6480	669
G000737	590	2218	420	617	1816	855	1479
G000738	795	3883	526	695	1562	651	2100
G000739	1168	3363	833	1284	1199	1144	4307
G000740	1669	2110	906	2421	1712	1517	1632
G000741	1021	1552	1883	1021	651	991	1491
G000742	341913	147669	400706	295550	156110	208173	409
G000743	13547	6906	12038	13242	5559	10088	648
G000744	4323	3048	4099	3907	3176	4724	785
G000745	5824	8818	9342	6199	5009	5665	954
G000746	2466	7414	982	2377	4104	2184	1386
G000747	474	288	393	475	254	243	582
G000748	1576	9906	497	1444	3729	2559	1128
G000749	3112	13830	1451	3555	8494	5770	780
G000750	818	675	547	972	385	585	606
G000751	59	311	54	81	153	182	1161
G000752	571	420	620	801	291	906	660
G000753	1433	1437	2168	1148	734	676	738
G000754	11640	36600	11808	11937	14580	26857	627
G000755	10483	3996	8743	12096	3097	10744	339
G000756	547	679	554	745	441	868	1176
G000757	1212	2649	2970	1265	1343	985	687
G000758	3891	2920	2821	3908	1756	1736	1125
G000759	1293	666	1745	1823	462	829	693
G000760	701	1107	1779	839	560	851	1476
G000761	387	503	1006	605	224	332	1530
G000762	6158	7412	2430	6286	5612	3241	614
G000763	250	535	370	229	259	347	2313
G000764	254	291	359	332	147	227	975
G000765	17943	12852	20757	19782	10192	13413	570
G000766	722	3387	346	732	1578	682	1180
G000767	1624	4369	1634	1911	1611	2046	2712
G000768	434	877	795	466	482	538	882
G000769	204	593	173	285	286	302	1293
G000770	2764	3447	3965	3182	2099	2436	933
G000771	12998	17240	8320	11333	7512	7563	1422
G000772	2241	9862	1265	2326	4884	2970	3414
G000773	2347	6965	1462	2861	3747	3586	2532
G000774	677	1898	933	722	1206	862	1479
G000775	2663	1428	2752	3136	1021	2767	783
G000776	741	584	485	818	447	748	1353
G000777	1967	3869	1060	1958	1700	1327	1554
G000778	2936	1979	2923	3684	1269	2084	966
G000779	415	1023	841	521	489	592	3840
G000780	1611	826	1837	2305	525	2066	533
G000781	2064	4320	3130	3113	2140	2555	1431
G000782	358	317	573	389	188	269	1965
G000783	13463	8125	16055	19356	5907	4335	415
G000784	709	1598	581	857	1056	520	657
G000785	8267	1961	5601	9034	1212	6801	355
G000786	1781	2276	1584	1762	1066	1583	2766
G000787	13353	20357	10430	12944	14876	9271	1842
G000788	7425	3617	9019	8377	2521	4227	843
G000789	332	349	364	422	209	220	834
G000790	1210	537	1321	1121	346	804	543
G000791	2827	3693	4289	2944	2305	2678	738
G000792	992	2605	716	1029	878	994	3786
